Unique_ID,Mothur_ID,site,week,StoretID,date,month,year
2018_10_21040001,10_21040001,Honey Creek Resort Beach,10,21040001,07/24/18,July,2018
2018_10_21070001,10_21070001,George Wyth Beach,10,21070001,07/24/18,July,2018
2018_10_21130001,10_21130001,North Twin Lake West Beach ,10,21130001,07/24/18,July,2018
2018_10_21130002,10_21130002,North Twin Lake East Beach ,10,21130002,07/24/18,July,2018
2018_10_21150001,10_21150001,Lake Anita Beach,10,21150001,07/24/18,July,2018
2018_10_21170001,10_21170001,Clear Lake Beach,10,21170001,07/24/18,July,2018
2018_10_21170002,10_21170002,McIntosh Woods Beach,10,21170002,07/24/18,July,2018
2018_10_21260001,10_21260001,Lake Wapello Beach,10,21260001,07/24/18,July,2018
2018_10_21270001,10_21270001,Nine Eagles Beach,10,21270001,07/24/18,July,2018
2018_10_21280001,10_21280001,Backbone Beach,10,21280001,07/24/18,July,2018
2018_10_21300001,10_21300001,Gull Point Beach,10,21300001,07/24/18,July,2018
2018_10_21300002,10_21300002,Pike’s Point Beach,10,21300002,07/24/18,July,2018
2018_10_21300003,10_21300003,Triboji Beach,10,21300003,07/24/18,July,2018
2018_10_21300004,10_21300004,Emerson Bay Beach,10,21300004,07/24/18,July,2018
2018_10_21300005,10_21300005,Crandall’s Beach,10,21300005,07/24/18,July,2018
2018_10_21350001,10_21350001,Beed’s Lake Beach,10,21350001,07/24/18,July,2018
2018_10_21390001,10_21390001,Springbrook Beach,10,21390001,07/24/18,July,2018
2018_10_21420001,10_21420001,Lower Pine Lake Beach,10,21420001,07/24/18,July,2018
2018_10_21500001,10_21500001,Rock Creek Beach,10,21500001,07/24/18,July,2018
2018_10_21520001,10_21520001,Lake Macbride Beach,10,21520001,07/24/18,July,2018
2018_10_21590001,10_21590001,Red Haw Beach,10,21590001,07/24/18,July,2018
2018_10_21620001,10_21620001,Lake Keomah Beach,10,21620001,07/24/18,July,2018
2018_10_21670001,10_21670001,Lewis and Clark (Blue Lake) Beach,10,21670001,07/24/18,July,2018
2018_10_21690001,10_21690001,Viking Lake Beach,10,21690001,07/24/18,July,2018
2018_10_21770001,10_21770001,Big Creek Beach,10,21770001,07/24/18,July,2018
2018_10_21780001,10_21780001,Lake Manawa Beach,10,21780001,07/24/18,July,2018
2018_10_21810001,10_21810001,Denison Beach,10,21810001,07/24/18,July,2018
2018_10_21810002,10_21810002,Black Hawk Beach,10,21810002,07/24/18,July,2018
2018_10_21830001,10_21830001,Prairie Rose Beach,10,21830001,07/24/18,July,2018
2018_10_21860001,10_21860001,Union Grove Beach,10,21860001,07/24/18,July,2018
2018_10_21870001,10_21870001,Lake of Three Fires Beach,10,21870001,07/24/18,July,2018
2018_10_21880001,10_21880001,Green Valley Beach,10,21880001,07/24/18,July,2018
2018_10_21890001,10_21890001,Lacey-Keosauqua Beach,10,21890001,07/24/18,July,2018
2018_10_21910001,10_21910001,Lake Ahquabi Beach,10,21910001,07/24/18,July,2018
2018_10_21920001,10_21920001,Lake Darling Beach,10,21920001,07/24/18,July,2018
2018_10_21940001,10_21940001,Brushy Creek Beach,10,21940001,07/24/18,July,2018
2018_11_21040001,11_21040001,Honey Creek Resort Beach,11,21040001,07/31/18,July,2018
2018_11_21070001,11_21070001,George Wyth Beach,11,21070001,07/31/18,July,2018
2018_11_21130001,11_21130001,North Twin Lake West Beach ,11,21130001,07/31/18,July,2018
2018_11_21130002,11_21130002,North Twin Lake East Beach ,11,21130002,07/31/18,July,2018
2018_11_21150001,11_21150001,Lake Anita Beach,11,21150001,07/31/18,July,2018
2018_11_21170001,11_21170001,Clear Lake Beach,11,21170001,07/31/18,July,2018
2018_11_21170002,11_21170002,McIntosh Woods Beach,11,21170002,07/31/18,July,2018
2018_11_21260001,11_21260001,Lake Wapello Beach,11,21260001,07/31/18,July,2018
2018_11_21270001,11_21270001,Nine Eagles Beach,11,21270001,07/31/18,July,2018
2018_11_21280001,11_21280001,Backbone Beach,11,21280001,07/31/18,July,2018
2018_11_21300001,11_21300001,Gull Point Beach,11,21300001,07/31/18,July,2018
2018_11_21300002,11_21300002,Pike’s Point Beach,11,21300002,07/31/18,July,2018
2018_11_21300003,11_21300003,Triboji Beach,11,21300003,07/31/18,July,2018
2018_11_21300004,11_21300004,Emerson Bay Beach,11,21300004,07/31/18,July,2018
2018_11_21300005,11_21300005,Crandall’s Beach,11,21300005,07/31/18,July,2018
2018_11_21350001,11_21350001,Beed’s Lake Beach,11,21350001,07/31/18,July,2018
2018_11_21390001,11_21390001,Springbrook Beach,11,21390001,07/31/18,July,2018
2018_11_21420001,11_21420001,Lower Pine Lake Beach,11,21420001,07/31/18,July,2018
2018_11_21500001,11_21500001,Rock Creek Beach,11,21500001,07/31/18,July,2018
2018_11_21520001,11_21520001,Lake Macbride Beach,11,21520001,07/31/18,July,2018
2018_11_21590001,11_21590001,Red Haw Beach,11,21590001,07/31/18,July,2018
2018_11_21620001,11_21620001,Lake Keomah Beach,11,21620001,07/31/18,July,2018
2018_11_21670001,11_21670001,Lewis and Clark (Blue Lake) Beach,11,21670001,07/31/18,July,2018
2018_11_21690001,11_21690001,Viking Lake Beach,11,21690001,07/31/18,July,2018
2018_11_21770001,11_21770001,Big Creek Beach,11,21770001,07/31/18,July,2018
2018_11_21780001,11_21780001,Lake Manawa Beach,11,21780001,07/31/18,July,2018
2018_11_21810001,11_21810001,Denison Beach,11,21810001,07/31/18,July,2018
2018_11_21810002,11_21810002,Black Hawk Beach,11,21810002,07/31/18,July,2018
2018_11_21830001,11_21830001,Prairie Rose Beach,11,21830001,07/31/18,July,2018
2018_11_21860001,11_21860001,Union Grove Beach,11,21860001,07/31/18,July,2018
2018_11_21870001,11_21870001,Lake of Three Fires Beach,11,21870001,07/31/18,July,2018
2018_11_21880001,11_21880001,Green Valley Beach,11,21880001,07/31/18,July,2018
2018_11_21890001,11_21890001,Lacey-Keosauqua Beach,11,21890001,07/31/18,July,2018
2018_11_21910001,11_21910001,Lake Ahquabi Beach,11,21910001,07/31/18,July,2018
2018_11_21920001,11_21920001,Lake Darling Beach,11,21920001,07/31/18,July,2018
2018_11_21940001,11_21940001,Brushy Creek Beach,11,21940001,07/31/18,July,2018
