Unique_ID,Mothur_ID,site,week,Storet_ID,date,month,year
2018_12_20140001,12_20140001,Honey Creek Resort Beach,12,21040001,08/07/18,August,2018
2018_12_21070001,12_21070001,George Wyth Beach,12,21070001,08/07/18,August,2018
2018_12_21130001,12_21130001,North Twin Lake West Beach ,12,21130001,08/07/18,August,2018
2018_12_21130002,12_21130002,North Twin Lake East Beach ,12,21130002,08/07/18,August,2018
2018_12_21150001,12_21150001,Lake Anita Beach,12,21150001,08/07/18,August,2018
2018_12_21170001,12_21170001,Clear Lake Beach,12,21170001,08/07/18,August,2018
2018_12_21170002,12_21170002,McIntosh Woods Beach,12,21170002,08/07/18,August,2018
2018_12_21260001,12_21260001,Lake Wapello Beach,12,21260001,08/07/18,August,2018
2018_12_21270001,12_21270001,Nine Eagles Beach,12,21270001,08/07/18,August,2018
2018_12_21280001,12_21280001,Backbone Beach,12,21280001,08/07/18,August,2018
2018_12_21300001,12_21300001,Gull Point Beach,12,21300001,08/07/18,August,2018
2018_12_21300002,12_21300002,Pike’s Point Beach,12,21300002,08/07/18,August,2018
2018_12_21300003,12_21300003,Triboji Beach,12,21300003,08/07/18,August,2018
2018_12_21300004,12_21300004,Emerson Bay Beach,12,21300004,08/07/18,August,2018
2018_12_21300005,12_21300005,Crandall’s Beach,12,21300005,08/07/18,August,2018
2018_12_21350001,12_21350001,Beed’s Lake Beach,12,21350001,08/07/18,August,2018
2018_12_21390001,12_21390001,Springbrook Beach,12,21390001,08/07/18,August,2018
2018_12_21420001,12_21420001,Lower Pine Lake Beach,12,21420001,08/07/18,August,2018
2018_12_21500001,12_21500001,Rock Creek Beach,12,21500001,08/07/18,August,2018
2018_12_21520001,12_21520001,Lake Macbride Beach,12,21520001,08/07/18,August,2018
2018_12_21590001,12_21590001,Red Haw Beach,12,21590001,08/07/18,August,2018
2018_12_21620001,12_21620001,Lake Keomah Beach,12,21620001,08/07/18,August,2018
2018_12_21670001,12_21670001,Lewis and Clark (Blue Lake) Beach,12,21670001,08/07/18,August,2018
2018_12_21690001,12_21690001,Viking Lake Beach,12,21690001,08/07/18,August,2018
2018_12_21770001,12_21770001,Big Creek Beach,12,21770001,08/07/18,August,2018
2018_12_21780001,12_21780001,Lake Manawa Beach,12,21780001,08/07/18,August,2018
2018_12_21810001,12_21810001,Denison Beach,12,21810001,08/07/18,August,2018
2018_12_21810002,12_21810002,Black Hawk Beach,12,21810002,08/07/18,August,2018
2018_12_21830001,12_21830001,Prairie Rose Beach,12,21830001,08/07/18,August,2018
2018_12_21860001,12_21860001,Union Grove Beach,12,21860001,08/07/18,August,2018
2018_12_21870001,12_21870001,Lake of Three Fires Beach,12,21870001,08/07/18,August,2018
2018_12_21880001,12_21880001,Green Valley Beach,12,21880001,08/07/18,August,2018
2018_12_21890001,12_21890001,Lacey-Keosauqua Beach,12,21890001,08/07/18,August,2018
2018_12_21910001,12_21910001,Lake Ahquabi Beach,12,21910001,08/07/18,August,2018
2018_12_21920001,12_21920001,Lake Darling Beach,12,21920001,08/07/18,August,2018
2018_12_21940001,12_21940001,Brushy Creek Beach,12,21940001,08/07/18,August,2018
2018_13_20140001,13_20140001,Honey Creek Resort Beach,13,21040001,08/14/18,August,2018
2018_13_21070001,13_21070001,George Wyth Beach,13,21070001,08/14/18,August,2018
2018_13_21130001,13_21130001,North Twin Lake West Beach ,13,21130001,08/14/18,August,2018
2018_13_21130002,13_21130002,North Twin Lake East Beach ,13,21130002,08/14/18,August,2018
2018_13_21150001,13_21150001,Lake Anita Beach,13,21150001,08/14/18,August,2018
2018_13_21170001,13_21170001,Clear Lake Beach,13,21170001,08/14/18,August,2018
2018_13_21170002,13_21170002,McIntosh Woods Beach,13,21170002,08/14/18,August,2018
2018_13_21260001,13_21260001,Lake Wapello Beach,13,21260001,08/14/18,August,2018
2018_13_21270001,13_21270001,Nine Eagles Beach,13,21270001,08/14/18,August,2018
2018_13_21280001,13_21280001,Backbone Beach,13,21280001,08/14/18,August,2018
2018_13_21300001,13_21300001,Gull Point Beach,13,21300001,08/14/18,August,2018
2018_13_21300002,13_21300002,Pike’s Point Beach,13,21300002,08/14/18,August,2018
2018_13_21300003,13_21300003,Triboji Beach,13,21300003,08/14/18,August,2018
2018_13_21300004,13_21300004,Emerson Bay Beach,13,21300004,08/14/18,August,2018
2018_13_21300005,13_21300005,Crandall’s Beach,13,21300005,08/14/18,August,2018
2018_13_21350001,13_21350001,Beed’s Lake Beach,13,21350001,08/14/18,August,2018
2018_13_21390001,13_21390001,Springbrook Beach,13,21390001,08/14/18,August,2018
2018_13_21420001,13_21420001,Lower Pine Lake Beach,13,21420001,08/14/18,August,2018
2018_13_21500001,13_21500001,Rock Creek Beach,13,21500001,08/14/18,August,2018
2018_13_21520001,13_21520001,Lake Macbride Beach,13,21520001,08/14/18,August,2018
2018_13_21590001,13_21590001,Red Haw Beach,13,21590001,08/14/18,August,2018
2018_13_21620001,13_21620001,Lake Keomah Beach,13,21620001,08/14/18,August,2018
2018_13_21670001,13_21670001,Lewis and Clark (Blue Lake) Beach,13,21670001,08/14/18,August,2018
2018_13_21690001,13_21690001,Viking Lake Beach,13,21690001,08/14/18,August,2018
2018_13_21770001,13_21770001,Big Creek Beach,13,21770001,08/14/18,August,2018
2018_13_21780001,13_21780001,Lake Manawa Beach,13,21780001,08/14/18,August,2018
2018_13_21810001,13_21810001,Denison Beach,13,21810001,08/14/18,August,2018
2018_13_21810002,13_21810002,Black Hawk Beach,13,21810002,08/14/18,August,2018
2018_13_21830001,13_21830001,Prairie Rose Beach,13,21830001,08/14/18,August,2018
2018_13_21860001,13_21860001,Union Grove Beach,13,21860001,08/14/18,August,2018
2018_13_21870001,13_21870001,Lake of Three Fires Beach,13,21870001,08/14/18,August,2018
2018_13_21880001,13_21880001,Green Valley Beach,13,21880001,08/14/18,August,2018
2018_13_21890001,13_21890001,Lacey-Keosauqua Beach,13,21890001,08/14/18,August,2018
2018_13_21910001,13_21910001,Lake Ahquabi Beach,13,21910001,08/14/18,August,2018
2018_13_21920001,13_21920001,Lake Darling Beach,13,21920001,08/14/18,August,2018
2018_13_21940001,13_21940001,Brushy Creek Beach,13,21940001,08/14/18,August,2018
